"Bitcoin Diamond
(BCD)","1.74
USD" 
"BlazeCoin
(BLZ)","0.000253
USD"
"Solarflarecoin
(SFC)","0.001439
USD"
"Ubique Chain Of Things
(UCT)","0.016671
USD"
"Jiyo [OLD]
(JIYO)","0.002956
USD"
"Moving Cloud Coin
 (MCC)","0.012076
USD"
"FlutterCoin
(FLT)","0.000969
USD"
"Theresa May Coin
(MAY)","0.000496
USD"
"Dix Asset
(DIX)","9.7e-07
USD"
"Prime-XI
(PXI)","0.001098
USD"
"Divi
(DIVI)","0.009232
USD"
"HoboNickels
(HBN)","0.003956
USD"
"Influxcoin
(INFX)","0.033595
USD"
"CrowdCoin
(CRC)","0.017960
USD"
"Rubex Money
(RBMC)","0.001228
USD"
"VectorAI
(VEC2)","0.001677
USD"
"Concoin
(CONX)","0.011289
USD"
"Billionaire Token
 (XBL)","0.065639
USD"
"VeriDocGlobal
(VDG)","0.003132
USD"
"PlayCoin [QRC20]
(PLY)","0.133955
USD"
"Atomic Coin
(ATOM)","0.005821
USD"
"Iconic
(ICON)","0.034241
USD"
"Metadium
(META)","0.009841
USD"
"United Bitcoin
(UBTC)","3.51
USD"
"PIECoin
(PIE)","0.003428
USD"
"CannaCoin
(CCN)","0.015528
USD"
"Twinkle
(TKT)","0.002163
USD"
"TWIST
(TWIST)","0.000842
USD"
"DigiFinexToken
(DFT)","0.158120
USD"
"Ethereum Dark
(ETHD)","0.042317
USD"
"SiaCashCoin
(SCC)","0.000212
USD"
"Citadel
(CTL)","0.012663
USD"
"BaaSid
(BAAS)","0.002690
USD"
"Unitus
(UIS)","0.003618
USD"
"Kronecoin
(KRONE)","0.001809
USD"
"WXCOINS
(WXC)","2.76
USD"
"Arepacoin
(AREPA)","0.003192
USD"
"EUNO
(EUNO)","0.015376
USD"
"SGPay
(SGP)","0.102699
USD"
"DIPNET
(DPN)","0.002405
USD"
"KingN Coin
(KNC)","11.61
USD"
"Zen Protocol
(ZP)","0.266301
USD"
"ParkinGo
(GOT)","0.560247
USD"
"ExchangeN
(EXN)","0.006474
USD"
"Aidos Kuneen
(ADK)","6.08
USD"
"AquariusCoin
(ARCO)","0.056893
USD"
"Bitcoin Instant
(BTI)","0.001032
USD"
"MACRON
(MCRN)","0.000129
USD"
"BiblePay
(BBP)","0.000505
USD"
"Roofs
(ROOFS)","0.000194
USD"
"InflationCoin
(IFLT)","0.000003
USD"
"BitAsean
(BAS)","0.000822
USD"
"LiteBitcoin
(LBTC)","0.000391
USD"
"Monero Original
(XMO)","1.31
USD"
"HarmonyCoin
(HMC)","0.000258
USD"
"WavesGo
(WGO)","0.009923
USD"
"EJOY
(EJOY)","0.000148
USD"
"Show
(SHOW)","0.001978
USD"
"Budbo
(BUBO)","0.004425
USD"
"Sativacoin
(STV)","0.004135
USD"
"VapersCoin
(VPRC)","0.000011
USD"
"Bitcoin Fast
(BCF)","0.012921
USD"
"Dinastycoin
(DCY)","0.000197
USD"
"Shekel
(JEW)","0.000647
USD"
"BitCoal
(COAL)","0.004477
USD"
"Tripio
(TRIO)","0.003606
USD"
"BoostCoin
(BOST)","0.004716
USD"
"BLOC.MONEY
(BLOC)","0.060729
USD"
"StockChain
(SCC)","0.002093
USD"
"SongCoin
(SONG)","0.000517
USD"
35
USD"
"Bytecent
(BYC)","0.056756
USD"
"ZB
(ZB)","0.218291
USD"
"SoPay
(SOP)","0.005348
USD"
"InsurChain
(INSUR)","0.000400
USD"
"Elcoin
(EL)","0.018283
USD"
"Invictus Hyperion Fund
(IHF)","0.032441
USD"
"Fidelium
(FID)","0.004264
USD"
"MEX
(MEX)","0.001686
USD"
"Zurcoin
(ZUR)","0.000711
USD"
"Trident Group
(TRDT)","0.013357
USD"
"CryptoInsight
(TKR)","0.004073
USD"
"Yuan Chain Coin
(YCC)","0.012650
USD"
"Insureum
(ISR)","0.055141
USD"
"QubitCoin
(Q2C)","0.001034
USD"
"Bankera
(BNK)","0.003796
USD"
"Decentralized Asset Trading Platform
(DATP)","0.000012
USD"
"BitcoinX
(BCX)","0.006903
USD"
"Exchange Union
(XUC)","4.09
USD"
"Usechain Token
(USE)","0.001416
USD"
"Coinonat
(CXT)","0.001288
USD"
"ZetaMicron
(ZMC)","0.000063
USD"
"Wiki Token
(WIKI)","0.797830
USD"
"CK USD
(CKUSD)","1.01
USD"
"First Bitcoin Capital
(BITCF)","0.029202
USD"
"Super Bitcoin
(SBTC)","4.72
USD"
"MEET.ONE
(MEETONE)","0.001993
USD"
"PRCoin
(PRC)","0.000323
USD"
"Marijuanacoin
(MAR)","0.012210
USD"
"Kurrent
(KURT)","0.001292
USD"
"CompuCoin
(CPN)","0.001486
USD"
"BlockCDN
(BCDN)","0.003737
USD"
"Helper Search Token
(HSN)","0.000004
USD"
"Argus
(ARGUS)","0.003295
USD"
"MojoCoin
(MOJO)","0.008744
USD"
"PosEx
(PEX)","0.010201
USD"
"ClubCoin
(CLUB)","0.926514
USD"
"SteepCoin
(STEEP)","0.000388
USD"
"BenjiRolls
(BENJI)","0.001141
USD"
"Masternodecoin
(MTNC)","0.002261
USD"
"Promotion Coin
(PC)","0.000534
USD"
"Ammo Reloaded
(AMMO)","0.000713
USD"
"High Voltage
(HVCO)","0.030547
USD"
"KushCoin
(KUSH)","0.026729
USD"
"Cryptojacks
(CJ)","0.000213
USD"
"Aricoin
(ARI)","0.000578
USD"
"Jingtum Tech
(SWTC)","0.001277
USD"
"Rublix
(RBLX)","0.270223
USD"
"BitCapitalVendor
(BCV)","0.004554
USD"
"X12 Coin
(X12)","0.054138
USD"
"QYNO
(QNO)","0.139341
USD"
"BingoCoin
(BOC)","0.052440
USD"
"MyToken
(MT)","0.003812
USD"
"GSENetwork
(GSE)","0.005319
USD"
"Bitnation
(XPAT)","0.000013
USD"
"Indicoin
(INDI)","0.008399
USD"
"CacheCoin
(CACH)","0.002584
USD"
"Bankcoin
(B@)","0.001917
USD"
"Infinity Economics
(XIN)","0.003285
USD"
"Senderon
(SDRN)","0.002390
USD"
"SHACoin
(SHA)","0.000323
USD"
"AWARE
(AT)","0.002573
USD"
"Digital Rupees
(DRS)","0.000065
USD"
"Quebecoin
(QBC)","0.003537
USD"
"Ubcoin Market
(UBC)","0.004523
USD"
"BOAT
(BOAT)","0.000707
USD"
"Obitan Chain
(OBTC)","0.000002
USD"
"BROTHER
(BRAT)","0.000229
USD"
"Golos Gold
(GBG)","0.017653
USD"
"EagleCoin
(EAGLE)","0.001652
USD"
"ContractNet
(CNET)","0.025905
USD"
"ORS Group
(ORS)","0.026588
USD"
"BERNcash
(BERN)","0.000969
USD"
"Neuro
(NRO)","0.000388
USD"
"Incodium
(INCO)","0.006713
USD"
"Open Platform
(OPEN)","0.011193
USD"
"Rhenium
(XRH)","0.000984
USD"
"Penta
(PNT)","0.001274
USD"
"empowr coin
(EMPR)","0.006593
USD"
"Endorsit
(EDS)","0.000098
USD"
"KNOW
(KNOW)","0.019550
USD"
"Artex Coin
(ATX)","0.000376
USD"
"LemoChain
(LEMO)","0.014697
USD"
"InternationalCryptoX
(INCX)","0.003219
USD"
"ParkByte
(PKB)","0.012921
USD"
"Quanta Utility Token
(QNTU)","0.000795
USD"
"Swapcoin
(SWP)","0.186980
USD"
"CHEX
(CHEX)","0.010013
USD"
"InterCrone
(ICR)","0.186145
USD"
"JavaScript Token
(JS)","0.003614
USD"
"BitSoar
(BSR)","0.000065
USD"
"Granite
(GRN)","0.001092
USD"
"Ordocoin
(RDC)","0.000053
USD"
"BipCoin
(BIP)","0.009648
USD"
"GazeCoin
(GZE)","0.010014
USD"
"Bitcoin Red
(BTCRED)","0.005899
USD"
"BUMO
(BU)","0.228316
USD"
"wys Token
(WYS)","0.012445
USD"
"Robotina
(ROX)","0.046346
USD"
"PlexCoin
(PLX)","0.011624
USD"
"OPCoinX
(OPCX)","0.001722
USD"
"iDealCash
(DEAL)","0.000410
USD"
"MiloCoin
(MILO)","0.001750
USD"
"SpeedCash
(SCS)","0.039597
USD"
"GambleCoin
(GMCN)","0.010983
USD"
"DEEX
(DEEX)","0.058326
USD"
"ONG
(ONG)","0.997792
USD"
"Californium
(CF)","0.013050
USD"
"Royal Kingdom Coin
(RKC)","0.002584
USD"
"Molecular Future
(MOF)","0.115601
USD"
"OTCBTC Token
(OTB)","0.057464
USD"
"FairGame
(FAIR)","0.006331
USD"
"CoinMeet
(MEET)","0.029322
USD"
"Francs
(FRN)","0.002778
USD"
"Engine
(EGCC)","0.000917
USD"
"Project-X
(NANOX)","37471.31
USD"
"RichCoin
(RICHX)","0.002769
USD"
"UnlimitedIP
(UIP)","0.004693
USD"
"Tellurion
(TELL)","0.000442
USD"
"StarCoin
(KST)","0.002825
USD"
"Sakuracoin
(SKR)","0.000775
USD"
"Ti-Value
(TV)","0.048019
USD"
"EmaratCoin
(AEC)","0.118523
USD"
"PressOne
(PRS)","0.049953
USD"
"Kcash
(KCASH)","0.018854
USD"
"BlazerCoin
(BLAZR)","0.000551
USD"
"Adenz
(DNZ)","0.012210
USD"
"DarexTravel
(DART)","0.000003
USD"
"Superior Coin
(SUP)","0.000711
USD"
"Dollarcoin
(DLC)","0.004910
USD"
"Pabyosi Coin (Special)
(PCS)","0.038763
USD"
"CoffeeCoin
(CFC)","0.000452
USD"
"Project Pai
(PAI)","0.180579
USD"
"SEER
(SEER)","0.001627
USD"
"Animation Vision Cash
(AVH)","0.001163
USD"
"HealthyWormCoin
(WORM)","0.000129
USD"
"TurboCoin
(TURBO)","0.000065
USD"
"Eligma Token
(ELI)","0.010996
USD"
"Wild Beast Block
(WBB)","0.058485
USD"
"Comet
(CMT)","0.028227
USD"
"HighCoin
(HIGHT)","0.000007
USD"
"Social Lending Token
(SLT)","0.003278
USD"
"JobsCoin
(JOBS)","0.000258
USD"
"EA Coin
(EAG)","0.002713
USD"
"TCOIN
(TCN)","0.276518
USD"
"Aces
(ACES)","0.000065
USD"
"DACC
(DACC)","0.000690
USD"
"President Johnson
(GARY)","0.006138
USD"
"Master Contract Token
(MCT)","0.002468
USD"
"Fantasy Cash
(FANS)","0.020545
USD"
"SaveNode
(SNO)","0.030518
USD"
"OBXcoin
(OBX)","0.006090
USD"
"WETH
(WETH)","207.55
USD"
"Adrenaline
(ADN)","0.000838
USD"
"EPLUS Coin
(EPLUS)","1.15
USD"
"The Midas Touch Gold
(TMTG)","0.043504
USD"
"Coupecoin
(COUPE)","0.000013
USD"
"NAM COIN
(NAM)","0.000341
USD"
"Esports Token
(EST)","0.002713
USD"
"Electronic PK Chain
(EPC)","0.000818
USD"
"Interzone
(ITZ)","0.002261
USD"
"Digital Asset Exchange Token
(DAXT)","0.018090
USD"
"Ultra Salescloud
(UST)","0.044886
USD"
"Lightning Bitcoin
(LBTC)","4.22
USD"
"Eurocoin
(EUC)","0.002520
USD"
"Bastonet
(BSN)","0.000009
USD"
"Royalties
(XRY)","0.000008
USD"
"Qurito
(QURO)","0.006945
USD"
"HYCON
(HYC)","0.018203
USD"
"Rentledger
(RTL)","0.000386
USD"
"CariNet
(CIT)","0.022787
USD"
"Nuggets
(NUG)","0.000719
USD"
"Infinipay
(IFP)","0.000258
USD"
"JSECOIN
(JSE)","0.002021
USD"
"Sterlingcoin
(SLG)","0.030928
USD"
"Defense
(DFS)","0.003941
USD"
"Pundi X NEM
(NPXSXEM)","0.000884
USD"
"Experience Token
(EXT)","0.000296
USD"
"Alphabit
(ABC)","15.68
USD"
"Phantomx
(PNX)","0.000696
USD"
"EscrowCoin
(ESCO)","0.216181
USD"
"MobilinkToken
(MOLK)","0.015216
USD"
"Concierge Coin
(CCC)","0.265819
USD"
"Aegeus
(AEG)","0.008850
USD"
"Veltor
(VLT)","0.026343
USD"
"PROUD Money
(PROUD)","0.008967
USD"
"AirWire
(WIRE)","0.053216
USD"
"ShineChain
(SHE)","0.001741
USD"
"COMSA [ETH]
(CMS)","0.080882
USD"
"Alibabacoin
(ABBC)","1.04
USD"
"Coni
(CONI)","0.025519
USD"
"Karatgold Coin
(KBC)","0.010340
USD"
"GameChain System
(GCS)","0.001296
USD"
"Cyber Movie Chain
 (CMCT)","0.000023
USD"
"Intelligent Investment Chain
(IIC)","0.000547
USD"
"Bitbase
(BTBc)","0.000388
USD"
"DWS
(DWS)","0.004540
USD"
"BetaCoin
(BET)","0.001224
USD"
"Save and Gain
(SANDG)","0.000904
USD"
"ValueCyberToken
(VCT)","0.021416
USD"
"SOOM
(SOOM)","0.092838
USD"
"Cybereits
(CRE)","0.007195
USD"
"GeertCoin
(GEERT)","0.001993
USD"
"Wink
(WINK)","0.000258
USD"
"Candy
(CANDY)","0.000037
USD"
"Litex
(LXT)","0.005181
USD"
"Essentia
(ESS)","0.003703
USD"
"COMSA [XEM]
(CMS)","0.083785
USD"
"Pixie Coin
(PXC)","0.000955
USD"
"SoonCoin
(SOON)","0.002520
USD"
"Globalvillage Ecosystem
(GVE)","0.001465
USD"
"DROXNE
(DRXNE)","0.001163
USD"
"ZenGold
(ZENGOLD)","0.005318
USD"
"ABCC Token
(AT)","0.323285
USD"
"Davinci Coin
(DAC)","0.004112
USD"
"ValueChain
(VLC)","0.012119
USD"
"Compound Coin
(COMP)","0.000026
USD"
"iQuant
(IQT)","0.004199
USD"
"NamoCoin
(NAMO)","0.000064
USD"
"Dutch Coin
(DUTCH)","0.000065
USD"
"ACChain
(ACC)","0.110540
USD"
"Elliot Coin
(ELLI)","0.004863
USD"
"CryptopiaFeeShares
(CEFS)","784.91
USD"
"Crypto Harbor Exchange
(CHE)","0.000193
USD"
"DasCoin
(DASC)","0.033970
USD"
"Spendcoin
(SPND)","1.60
USD"
"eosBLACK
(BLACK)","0.176185
USD"
"Omicron
(OMC)","0.077717
USD"
"ABLE
(ABLX)","0.000692
USD"
"TrueDeck
(TDP)","2.44
USD"
"MIR COIN
(MIR)","0.053404
USD"
"Leviar
(XLC)","0.006689
USD"
"CarBlock
(CAR)","0.002656
USD"
"Crypto Improvement Fund
(CIF)","0.000323
USD"
"KlondikeCoin
(KDC)","0.005546
USD"
"Influence Chain
(INC)","0.029200
USD"
"ALLCOIN
(ALC)","0.015580
USD"
"ARLIZE
(ARLIZE)","0.000258
USD"
"RRCoin
(RRC)","0.004611
USD"
"Thunderstake
(TSC)","0.000388
USD"
"Agrolot
(AGLT)","0.320886
USD"
"Rcoin
(RCN)","0.000065
USD"
"OceanChain
(OC)","0.000656
USD"
"Future1coin
(F1C)","0.005163
USD"
"RECORD
(RCD)","0.003683
USD"
"Etherecash
(ECH)","0.065047
USD"
"Hybrid Block
(HYB)","0.015405
USD"
"Hdac
(HDAC)","0.052602
USD"
"Read
(READ)","0.004846
USD"
"KARMA
(KARMA)","0.001370
USD"
"Quasarcoin
(QAC)","0.046617
USD"
"PlusOneCoin
(PLUS1)","0.058245
USD"
"W3Coin
(W3C)","0.000031
USD"
"SIGMAcoin
(SIGMA)","0.003087
USD"
"Bodhi [ETH]
(BOE)","0.046294
USD"
"Quotient
(XQN)","0.002067
USD"
"CryptCoin
(CRYPT)","0.050202
USD"
"Minex
(MINEX)","0.000646
USD"
"TopChain
(TOPC)","0.011700
USD"
"EncryptoTel [ETH]
(ETT)","0.011384
USD"
"Consentium
(CSM)","1.08
USD"
"Animecoin
(ANI)","0.001029
USD"
"ZTCoin
(ZT)","0.130981
USD"
"FuturoCoin
(FTO)","10.57
USD"
"MSD
(MSD)","0.007210
USD"
"Helium
(HLM)","0.838746
USD"
"TeslaCoilCoin
(TESLA)","0.362624
USD"
"ShopZcoin
(SZC)","0.019407
USD"
"Levocoin
(LEVO)","0.000065
USD"
"Lendroid Support Token
(LST)","0.001428
USD"
"CEDEX Coin
(CEDEX)","0.106360
USD"
"BitMoney
(BIT)","0.021162
USD"
"Qube
(QUBE)","0.004007
USD"
"Magnetcoin
(MAGN)","0.023428
USD"
"TerraNova
(TER)","0.069212
USD"
"Runners
(RUNNERS)","0.000064
USD"
"MarxCoin
(MARX)","0.000836
USD"
"Galaxy eSolutions
 (GES)","0.001741
USD"
"Infinitecoin
(IFC)","0.000033
USD"
"Graviocoin
(GIO)","0.000380
USD"
"YOU COIN
(YOU)","0.006796
USD"
"First Bitcoin
(BIT)","0.007559
USD"
"Gentarium
(GTM)","1.02
USD"
"XRT Token
(XRT)","0.000247
USD"
"STEX
(STEX)","0.646057
USD"
"Fivebalance
(FBN)","0.000016
USD"
"Blockpass
(PASS)","0.009987
USD"
"Hyper
(HYPER)","0.008255
USD"
"Level Up Coin
(LUC)","0.001720
USD"
"Celsius
(CEL)","0.047318
USD"
"Atlantis Blue Digital Token
(ABDT)","0.016769
USD"
"ZSEcoin
(ZSE)","0.013061
USD"
"GOLD Reward Token
(GRX)","0.002778
USD"
"YUKI
(YUKI)","0.000085
USD"
"HODL Bucks
(HDLB)","0.011578
USD"
"SecureCloudCoin
(SC2)","0.001292
USD"
"BitSerial
(BTE)","0.000766
USD"
"CMITCOIN
(CMIT)","0.000052
USD"
"Donationcoin
(DON)","0.000262
USD"
"Maggie
(MAG)","0.001779
USD"
"PlayCoin [ERC20]
(PLY)","0.138678
USD"
"WinToken
(WIN)","0.000449
USD"
"PayDay Coin
(PDX)","1.23
USD"
"SalPay
(SAL)","0.032162
USD"
"Tattoocoin (Limited Edition)
(TLE)","0.743140
USD"
"Ferron
(FRRN)","0.000084
USD"
"SegWit2x
(B2X)","0.134036
USD"
"CryptalDash
(CRD)","0.011986
USD"
"Civitas
(CIV)","0.052008
USD"
"Akuya Coin
(AKY)","0.000523
USD"
"RabbitCoin
(RBBT)","0.000002
USD"
"Sharkcoin
(SAK)","0.002666
USD"
"Bitcoin File
(BIFI)","0.008580
USD"
"Dragon Token
(DT)","1.50
USD"
"FCoin Token
(FT)","0.043727
USD"
"Volt
(ACDC)","0.001385
USD"
"Haracoin
(HRC)","0.073780
USD"
"SONO
(SONO)","0.126950
USD"
"MIRQ
(MRQ)","0.000194
USD"
"SJWCoin
(SJW)","0.000193
USD"
"Arbitracoin
(ATC)","0.001292
USD"
"Cheapcoin
(CHEAP)","0.000062
USD"
"GIGA
(XG)","0.000069
USD"
"Bubble
(BUB)","0.006792
USD"
"SnipCoin
(SNIP)","0.000234
USD"
"Italian Lira
(ITL)","0.000025
USD"
"Saifu
(SFU)","0.052358
USD"
"Wi Coin
(WIC)","0.000258
USD"
"Ethereum Lite
(ELITE)","0.226432
USD"
"NewsToken
(NEWOS)","0.002055
USD"
"Storjcoin X
(SJCX)","0.177699
USD"
"Alttex
(ALTX)","0.002978
USD"
"Birds
(BIRDS)","0.000129
USD"
"IronCoin
(PRN)","0.000065
USD"
"BT2 [CST]
(BT2)","5.32
USD"
"Antimatter
(ANTX)","0.000063
USD"
"Vestoria
(VSTR)","0.000003
USD"
"Bitok
(BITOK)","0.000064
USD"
"AvatarCoin
(AV)","0.051546
USD"
"CoinEx Token
(CET)","0.021120
USD"
"President Trump
(PRES)","0.004700
USD"
"FAPcoin
(FAP)","0.000194
USD"
"Cheesecoin
(CHEESE)","0.000174
USD"
"Super Game Chain
(SGCC)","0.000115
USD"
"BFFDoom
(BFF)","0.000003
USD"
"Olympic
(OLMP)","0.000749
USD"
"Mero
(MERO)","0.000258
USD"
"High Gain
(HIGH)","0.000064
USD"
"Monero Classic
(XMC)","1.62
USD"
"Hero
(HERO)","0.025271
USD"
"Excaliburcoin
(EXC)","0.000065
USD"
"ENTCash
(ENT)","0.024932
USD"
"GoldMaxCoin
(GMX)","0.000065
USD"
"Huncoin
(HNC)","0.000257
USD"
"Atheios
(ATH)","0.011303
USD"
"UniversalRoyalCoin
(UNRC)","0.000320
USD"
"NEO GOLD
(NEOG)","0.000324
USD"
"EtherDelta Token
(EDT)","0.001109
USD"
"Internet of Things
(XOT)","20.69
USD"
"Carboneum [C8] Token
(C8)","0.008216
USD"
"ANON
(ANON)","0.445289
USD"
"AMO Coin
(AMO)","0.001950
USD"
"Cyder
(CYDER)","0.000772
USD"
"Asura Coin
(ASA)","0.001938
USD"
"Trendercoin
(TDC)","0.000034
USD"
"KWHCoin
(KWH)","0.012899
USD"
"Mooncoin
(MOON)","0.000022
USD"
"Smart Application Chain
(SAC)","2.67
USD"
"Cloud
(CLD)","0.019651
USD"
"IDOL COIN
(IDOL)","0.000067
USD"
"ERC20
(ERC20)","0.121647
USD"
"MustangCoin
(MST)","0.035182
USD"
"Pandemia
(PNDM)","0.007204
USD"
"LiteCoin Ultra
(LTCU)","0.013831
USD"
"Labh Coin
(LABH)","0.003036
USD"
"CARDbuyers
(BCARD)","0.020674
USD"
"Oxycoin
(OXY)","0.004443
USD"
"Iconiq Lab Token
(ICNQ)","0.671038
USD"
"Cryptrust
(CTRT)","0.000022
USD"
"WA Space
(WA)","0.000707
USD"
"PLNcoin
(PLNC)","0.001286
USD"
"Puregold Token
(PGT)","0.091411
USD"
"Dragon Coins
(DRG)","0.102413
USD"
"YENTEN
(YTN)","0.001692
USD"
"Luna Stars
(LSTR)","0.000161
USD"
"Cropcoin
(CROP)","0.000471
USD"
"Ether-1
(ETHO)","0.026446
USD"
"Cobrabytes
(COBRA)","0.076916
USD"
"ARbit
(ARB)","0.001415
USD"
"KingXChain
(KXC)","0.000015
USD"
"Cubits
(QBT)","0.000904
USD"
"PitisCoin
(PTS)","0.003087
USD"
"VeThor Token
(VTHO)","0.001261
USD"
"Axiom
(AXIOM)","0.007171
USD"
"Bitcoin God
(GOD)","13.47
USD"
"Pecunio
(PCO)","0.043920
USD"
"XTRD
(XTRD)","0.002350
USD"
"BTCMoon
(BTCM)","0.001585
USD"
"SuperEdge
(ECT)","0.000138
USD"
"Hyper Pay
(HPY)","0.004068
USD"
"Fargocoin
(FRGC)","0.078766
USD"
"Centaure
(CEN)","0.001439
USD"
"CottonCoin
(COTN)","0.007559
USD"
"EmberCoin
(EMB)","1.4e-07
USD"
"DynamicCoin
(DMC)","0.000225
USD"
"PWR Coin
(PWR)","0.000064
USD"
"CORION
(COR)","0.071131
USD"
"ERA
(ERA)","0.003747
USD"
"Halloween Coin
(HALLO)","0.000129
USD"
"WIZBL
(WBL)","0.024938
USD"
"RPICoin
(RPI)","0.000194
USD"
"Po.et
(POE)","0.012025
USD"
"Storiqa
(STQ)","0.002391
USD"
"Bread
(BRD)","0.386184
USD"
"MediShares
(MDS)","0.018353
USD"
"Skrumble Network
(SKM)","0.006977
USD"
"MASTERNET
(MASH)","0.201320
USD"
"Bittwatt
(BWT)","0.037697
USD"
"Spectrecoin
(XSPEC)","0.210812
USD"
"Xaurum
(XAUR)","0.043719
USD"
"Mass Vehicle Ledger
(MVL)","0.001863
USD"
"aXpire
(AXPR)","0.016698
USD"
"Everipedia
(IQ)","0.009693
USD"
"Zeepin
(ZPT)","0.034277
USD"
"BitNewChain
(BTN)","0.047607
USD"
"Ecoreal Estate
(ECOREAL)","0.058279
USD"
"HorusPay
(HORUS)","0.015538
USD"
"Bloom
(BLT)","0.154632
USD"
"Cryptonex
(CNX)","2.10
USD"
"ChatCoin
(CHAT)","0.012757
USD"
"MaidSafeCoin
(MAID)","0.199859
USD"
"AVINOC
(AVINOC)","0.015028
USD"
"Refereum
(RFR)","0.005480
USD"
"FansTime
(FTI)","0.002177
USD"
"Wowbit
(WWB)","0.057776
USD"
"DubaiCoin
(DBIX)","1.89
USD"
"Bean Cash
(BITB)","0.003044
USD"
"CRYPTO20
(C20)","0.644353
USD"
"KickCoin
(KICK)","0.022374
USD"
"Blue Whale Token
(BWX)","0.000274
USD"
"Lunyr
(LUN)","4.68
USD"
"Nuls
(NULS)","1.13
USD"
"Phantasma
(SOUL)","0.091692
USD"
"Ubiq
(UBQ)","0.493842
USD"
"Raiden Network Token
(RDN)","0.610136
USD"
"SingularityNET
(AGI)","0.051676
USD"
"B2BX
(B2B)","0.606491
USD"
"SONM
(SNM)","0.055819
USD"
"XTRABYTES
(XBY)","0.028937
USD"
"Ark
(ARK)","0.769782
USD"
"BOScoin
(BOS)","0.051251
USD"
"Credits
(CS)","0.153236
USD"
"Edgeless
(EDG)","0.158210
USD"
"Enjin Coin
(ENJ)","0.050863
USD"
"IOTA
(MIOTA)","0.491753
USD"
"Ink
(INK)","0.019595
USD"
"TenX
(PAY)","0.557262
USD"
"Crypto.com
(MCO)","4.54
USD"
"Zilliqa
(ZIL)","0.034615
USD"
"TrueUSD
(TUSD)","1.01
USD"
"TokenClub
(TCT)","0.030301
USD"
"Stellite
(XTL)","0.000777
USD"
"Dent
(DENT)","0.001994
USD"
"0x
(ZRX)","0.880652
USD"
"MassGrid
(MGD)","0.084612
USD"
"Humaniq
(HMQ)","0.027780
USD"
"Elastic
(XEL)","0.067149
USD"
"Nerves
(NER)","0.001302
USD"
"Lina
(LINA)","0.087199
USD"
"RevolutionVR
(RVR)","0.031967
USD"
"Nexty
(NTY)","0.000067
USD"
"Digitex Futures
(DGTX)","0.128671
USD"
"Aeon
(AEON)","0.557546
USD"
"ProximaX
(XPX)","0.003100
USD"
"VINchain
(VIN)","0.012088
USD"
"U Network
(UUU)","0.000778
USD"
"AppCoins
(APPC)","0.105758
USD"
"Credo
(CREDO)","0.054892
USD"
"Dignity
(DIG)","0.042194
USD"
"Rotharium
(RTH)","3.88
USD"
"Restart Energy MWAT
(MWAT)","0.016239
USD"
"Boolberry
(BBR)","0.915010
USD"
"Bankex
(BKX)","0.069663
USD"
"Agrello
(DLT)","0.092535
USD"
"Tierion
(TNT)","0.031654
USD"
"Ripio Credit Network
(RCN)","0.032547
USD"
"Aurora DAO
(AURA)","0.065849
USD"
"Bitcore
(BTX)","0.751410
USD"
"Cofound.it
(CFI)","0.026256
USD"
"Dentacoin
(DCN)","0.000239
USD"
"Cosmo Coin
(COSM)","0.026507
USD"
"Bitcoin Atom
(BCA)","0.292354
USD"
"Peercoin
(PPC)","0.915982
USD"
"BOXX Token [Blockparty]
(BOXX)","0.181915
USD"
"THEKEY
(TKY)","0.005621
USD"
"Burst
(BURST)","0.008640
USD"
"Genesis Vision
(GVT)","13.74
USD"
"Nucleus Vision
(NCASH)","0.004806
USD"
"All Sports
(SOC)","0.014267
USD"
"Waltonchain
(WTC)","2.92
USD"
"SpankChain
(SPANK)","0.066448
USD"
"New Power Coin
(NPW)","0.322498
USD"
"GameCredits
(GAME)","0.169794
USD"
"Metaverse ETP
(ETP)","3.11
USD"
"AirSwap
(AST)","0.095619
USD"
"Kin
(KIN)","0.000058
USD"
"Cortex
(CTXC)","0.320898
USD"
"Power Ledger
(POWR)","0.182303
USD"
"Bitcoin Diamond
(BCD)","1.74
USD"
"WaykiChain
(WICC)","0.224850
USD"
"DecentBet
(DBET)","0.048167
USD"
"Polybius
(PLBT)","1.60
USD"
"Haven Protocol
(XHV)","1.72
USD"
"Lamden
(TAU)","0.046796
USD"
"Blackmoon
(BMC)","0.233197
USD"
"UNIVERSAL CASH
(UCASH)","0.000519
USD"
"Iconomi
(ICN)","0.346272
USD"
"ALQO
(XLQ)","0.182833
USD"
"carVertical
(CV)","0.001296
USD"
"Presearch
(PRE)","0.064230
USD"
"EDUCare
(EKT)","0.034863
USD"
"Cryptaur
(CPT)","0.003014
USD"
"ICE ROCK MINING
(ROCK2)","0.353924
USD"
"DAEX
(DAX)","0.018694
USD"
"ReddCoin
(RDD)","0.003118
USD"
"Bulwark
(BWK)","0.667928
USD"
"Einsteinium
(EMC2)","0.090919
USD"
"TRONCLASSIC
(TRXC)","0.000065
USD"
"Moneytoken
(IMT)","0.001039
USD"
"Global Currency Reserve
(GCR)","0.163499
USD"
"Pascal Coin
(PASC)","0.379421
USD"
"Pura
(PURA)","0.033076
USD"
"NavCoin
(NAV)","0.365567
USD"
"Content Neutrality Network
(CNN)","0.000483
USD"
"CloakCoin
(CLOAK)","2.59
USD"
"XYO Network
 (XYO)","0.002772
USD"
